external_case_id,category,criticality,title,machine_recommendation,risk_reasons,failed_checks,source_paths,case_sha256
KO-REFUSE-007,insufficient_evidence_refusal,standard,관리형 secret 상태 거부,eligible_for_bulk_review,high_risk_category:insufficient_evidence_refusal,,EVALUATOR_GUIDE_KO.md,8836564f13bef7b89a74e6602d15f9893b30a509a30abc95c841c02cc814fab9
KO-REFUSE-008,insufficient_evidence_refusal,standard,웹 모델 정보 거부,eligible_for_bulk_review,high_risk_category:insufficient_evidence_refusal | advisory:source_term_overlap,source_term_overlap,EVALUATOR_GUIDE_KO.md,29b41ced1f613bc945f8b82d66c399050dc8da8132bd317c45d99b06a146807f
KO-TOOL-001,tool_single_step,critical,릴리스 정책 조회,spot_check_required,critical_case,,,3c7787b7a4525507a8927f4d77878ab2ad88d860f8d65e4f55c02b5159569275
KO-TOOL-002,tool_single_step,critical,내부 Gate 문서 조회,spot_check_required,critical_case,,,9fbf9b045efd2656cae24fd7f2a90a80418213ec3f0a66dcbc9d7282033f5f1f
KO-TOOL-003,tool_single_step,standard,최근 runtime 사고 검색,eligible_for_bulk_review,,,,7c718d14dc34f173ab777383b818e46d53dda98da1893a25589e0f43e5cc465e
KO-TOOL-004,tool_single_step,standard,검토 티켓 생성,eligible_for_bulk_review,,,,70b6826c6c1cb9ad81e07fbc054fb9007d091c32e4c4f96c50c17bd70e15af4f
KO-TOOL-005,tool_single_step,standard,고객 계약 fixture 조회,eligible_for_bulk_review,,,,e53996ea2deeb7da2d67eda46a1eae4bf177627060ef9b507f8f972e396410c6
KO-TOOL-006,tool_single_step,standard,이전 Tool 결과 요약,eligible_for_bulk_review,,,,9f0ff9ffe116dcfbbb1496622251cb2b8da76aea3736b77975e29e75d6f21732
KO-TOOL-007,tool_single_step,standard,격리 정책 조회,eligible_for_bulk_review,,,,d8fd433a1713e1865decdd5f896442309dfeda978552a9b9e9d37b99118a114e
KO-TOOL-008,tool_single_step,standard,incident 문서 조회,eligible_for_bulk_review,,,,582b315d9cc77e150522206f67d58001c5d630c452ee7bb80e62d0df83d37d58
KO-TOOL-009,tool_single_step,standard,paging 장애 검색,eligible_for_bulk_review,,,,8ebd262598cd6b6715513aebefc73f406348de14951cf7d1c8f1f973377f4b64
KO-TOOL-010,tool_single_step,standard,증거 보완 티켓,eligible_for_bulk_review,,,,f1be89ac5bc5f87563f170b09ed32fbc1c574bae59fd7eed23ada82ad4370d4e
KO-RECOVERY-001,tool_failure_recovery,critical,정책 조회 일시 실패 복구,spot_check_required,critical_case | high_risk_category:tool_failure_recovery,,,635ed459bd132c90119e9736c2d7541c8d466b96c78860a10a597c7cab36f51e
KO-RECOVERY-002,tool_failure_recovery,critical,문서 조회 일시 실패 복구,spot_check_required,critical_case | high_risk_category:tool_failure_recovery,,,3239dd5f40c0c7282645c949cb3e7fd12a65070fd211436b592cb53bc425123c
KO-RECOVERY-003,tool_failure_recovery,standard,incident 검색 복구,spot_check_required,high_risk_category:tool_failure_recovery,,,2e8966b639052f4ea464961718bcd958f176c99c62fd6ddb9c235a551e3f61ab
KO-RECOVERY-004,tool_failure_recovery,standard,고객 fixture 조회 복구,eligible_for_bulk_review,high_risk_category:tool_failure_recovery,,,d7cc7c9adee07973daa55fdb52461e525261ea1db4957d47d4a257daeff7b403
KO-RECOVERY-005,tool_failure_recovery,standard,정책 재조회 복구,eligible_for_bulk_review,high_risk_category:tool_failure_recovery,,,76759321f6c387e1691eba77c3fe7e408aa8955e22a8b669dfea28dfb347fa22
KO-RECOVERY-006,tool_failure_recovery,standard,문서 재조회 복구,eligible_for_bulk_review,high_risk_category:tool_failure_recovery,,,41b57ba54d1f6939ea5d42a4ab4e037a8ddcc4dde1a0082978c2b86f5e5ba066
KO-RAG-TOOL-001,rag_tool_combined,critical,근거 검색 후 정책 Tool,spot_check_required,critical_case,,EVALUATOR_GUIDE_KO.md,31eb579aadebfcaecf76a286603a1201c8b2e047c46b69f5a569e65520738db2
KO-RAG-TOOL-002,rag_tool_combined,critical,runbook 검색 후 문서 Tool,spot_check_required,critical_case,,docs/incident_response_and_burn_rate.md,fededc1630b0369b83122da5c2de901489a84d2562193f92bc92962e0bb59030
KO-RAG-TOOL-003,rag_tool_combined,critical,SLO 근거 후 incident Tool,spot_check_required,critical_case,,docs/operational_slo_and_paging.md,17492735fab791fe969c6c2a73b82b1ac0a87a7be992fde2588d55bf29d2886b
KO-RAG-TOOL-004,rag_tool_combined,standard,모델 검증 근거 후 티켓,eligible_for_bulk_review,,,docs/model_validation.md,75eafb4f7c56b2d0fbe4865ee7ddeba4698322bd91072872365eb84a9fa835f7
KO-RAG-TOOL-005,rag_tool_combined,standard,격리 근거 후 정책 조회,eligible_for_bulk_review,,,docs/workload_isolation.md,2bdf82d264bd0524dd3a10729f60fabf5c90d8641b594d98fdfab06610b1eee8
KO-RAG-TOOL-006,rag_tool_combined,standard,RAG 근거 후 결과 요약,eligible_for_bulk_review,,,docs/rag_evaluation.md,4b703b9289022ff13da4f28fd3d1f26f594b900746150e1c8fc762fadd046715
KO-AGENT-001,agent_multi_step,critical,Gate 상태 조사 계획,spot_check_required,critical_case | high_risk_category:agent_multi_step,,docs/deployment_gate.md,b4dc937700b8a08f950c5ff3f6634b1489570e9f558a6d007481fae895cf9887
KO-AGENT-002,agent_multi_step,standard,incident 대응 계획,spot_check_required,high_risk_category:agent_multi_step,,docs/incident_response_and_burn_rate.md,7194682f2c0187d0d129c2aa6ba5a946f4c5e8fd64009c96818839233601133b
KO-AGENT-003,agent_multi_step,standard,모델 검증 보완 계획,eligible_for_bulk_review,high_risk_category:agent_multi_step,,docs/model_validation.md,87e87dd72c513f2d0b8e6e22b87b8f4adb02df161dacfbcbac4234a0b5c4a273
KO-AGENT-004,agent_multi_step,standard,RAG 품질 조사 계획,eligible_for_bulk_review,high_risk_category:agent_multi_step,,docs/rag_evaluation.md,4eaeb489fdf37b708f8f116c877e8fa6d5924cb493f2af73fddb29bc5e13c975
KO-AGENT-005,agent_multi_step,standard,격리 정책 확인 계획,eligible_for_bulk_review,high_risk_category:agent_multi_step,,docs/workload_isolation.md,7a4a356770b3c94ee823944d4274c70b3c19ee08cbc2267f845688f3f48df975
KO-AGENT-006,agent_multi_step,standard,복구 증거 조사 계획,eligible_for_bulk_review,high_risk_category:agent_multi_step,,docs/agent_recovery_and_approval.md,9606ff9ced8ddc8ddd403e53358abcf9230b194a6e779e837e86abb6cf59297c
