external_case_id,category,criticality,title,query_or_request,source_paths,expected_contract_json,case_sha256,decision,reviewer,reviewed_at,notes
KO-TOOL-001,tool_single_step,critical,릴리스 정책 조회,릴리스 승인 정책을 조회해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""lookup_policy 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""lookup_policy""}}",3c7787b7a4525507a8927f4d77878ab2ad88d860f8d65e4f55c02b5159569275,,,,
KO-TOOL-002,tool_single_step,critical,내부 Gate 문서 조회,deployment gate 문서를 조회해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""lookup_internal_document 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""document_id"":{""type"":""string""}},""required"":[""document_id""],""type"":""object""},""example_arguments"":{""document_id"":""model-atlas-operator-runbook""},""max_attempts"":1,""tool_name"":""lookup_internal_document""}}",9fbf9b045efd2656cae24fd7f2a90a80418213ec3f0a66dcbc9d7282033f5f1f,,,,
KO-TOOL-003,tool_single_step,standard,최근 runtime 사고 검색,runtime 관련 사고를 검색해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""search_incidents 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""search_incidents""}}",7c718d14dc34f173ab777383b818e46d53dda98da1893a25589e0f43e5cc465e,,,,
KO-TOOL-004,tool_single_step,standard,검토 티켓 생성,Gate 재검토용 simulated 티켓을 만들어 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""create_ticket 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""priority"":{""enum"":[""low"",""normal"",""high""],""type"":""string""},""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""priority"":""normal"",""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""create_ticket""}}",70b6826c6c1cb9ad81e07fbc054fb9007d091c32e4c4f96c50c17bd70e15af4f,,,,
KO-TOOL-005,tool_single_step,standard,고객 계약 fixture 조회,고객 계약 상태 fixture를 확인해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""lookup_customer 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""lookup_customer""}}",e53996ea2deeb7da2d67eda46a1eae4bf177627060ef9b507f8f972e396410c6,,,,
KO-TOOL-006,tool_single_step,standard,이전 Tool 결과 요약,이전 로컬 Tool 결과를 요약해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""summarize_thread 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""summarize_thread""}}",9f0ff9ffe116dcfbbb1496622251cb2b8da76aea3736b77975e29e75d6f21732,,,,
KO-TOOL-007,tool_single_step,standard,격리 정책 조회,workload isolation 정책을 조회해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""lookup_policy 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""lookup_policy""}}",d8fd433a1713e1865decdd5f896442309dfeda978552a9b9e9d37b99118a114e,,,,
KO-TOOL-008,tool_single_step,standard,incident 문서 조회,incident response 문서를 찾아 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""lookup_internal_document 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""document_id"":{""type"":""string""}},""required"":[""document_id""],""type"":""object""},""example_arguments"":{""document_id"":""model-atlas-operator-runbook""},""max_attempts"":1,""tool_name"":""lookup_internal_document""}}",582b315d9cc77e150522206f67d58001c5d630c452ee7bb80e62d0df83d37d58,,,,
KO-TOOL-009,tool_single_step,standard,paging 장애 검색,paging receiver 장애 이력을 검색해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""search_incidents 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""search_incidents""}}",8ebd262598cd6b6715513aebefc73f406348de14951cf7d1c8f1f973377f4b64,,,,
KO-TOOL-010,tool_single_step,standard,증거 보완 티켓,부족한 evidence 보완을 위한 simulated 티켓을 생성해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""create_ticket 선택""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""priority"":{""enum"":[""low"",""normal"",""high""],""type"":""string""},""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""priority"":""normal"",""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""create_ticket""}}",f1be89ac5bc5f87563f170b09ed32fbc1c574bae59fd7eed23ada82ad4370d4e,,,,
KO-RECOVERY-001,tool_failure_recovery,critical,정책 조회 일시 실패 복구,정책 조회가 한 번 실패하면 제한된 재시도로 복구해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""한 번의 transient failure 후 성공""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""},""simulate_failure"":{""enum"":[""transient_once""],""type"":""string""}},""required"":[""query"",""simulate_failure""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review"",""simulate_failure"":""transient_once""},""max_attempts"":2,""tool_name"":""lookup_policy""}}",635ed459bd132c90119e9736c2d7541c8d466b96c78860a10a597c7cab36f51e,,,,
KO-RECOVERY-002,tool_failure_recovery,critical,문서 조회 일시 실패 복구,내부 문서 조회의 일시 실패를 bounded retry로 복구해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""bounded retry 증거 보존""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""document_id"":{""type"":""string""},""simulate_failure"":{""enum"":[""transient_once""],""type"":""string""}},""required"":[""document_id"",""simulate_failure""],""type"":""object""},""example_arguments"":{""document_id"":""model-atlas-operator-runbook"",""simulate_failure"":""transient_once""},""max_attempts"":2,""tool_name"":""lookup_internal_document""}}",3239dd5f40c0c7282645c949cb3e7fd12a65070fd211436b592cb53bc425123c,,,,
KO-RECOVERY-003,tool_failure_recovery,standard,incident 검색 복구,incident 검색이 일시 실패할 때 한 번만 재시도해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""재시도 횟수 제한""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""},""simulate_failure"":{""enum"":[""transient_once""],""type"":""string""}},""required"":[""query"",""simulate_failure""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review"",""simulate_failure"":""transient_once""},""max_attempts"":2,""tool_name"":""search_incidents""}}",2e8966b639052f4ea464961718bcd958f176c99c62fd6ddb9c235a551e3f61ab,,,,
KO-RECOVERY-004,tool_failure_recovery,standard,고객 fixture 조회 복구,고객 fixture 조회의 transient error를 복구해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""원래 실패와 recovery 기록""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""},""simulate_failure"":{""enum"":[""transient_once""],""type"":""string""}},""required"":[""query"",""simulate_failure""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review"",""simulate_failure"":""transient_once""},""max_attempts"":2,""tool_name"":""lookup_customer""}}",d7cc7c9adee07973daa55fdb52461e525261ea1db4957d47d4a257daeff7b403,,,,
KO-RECOVERY-005,tool_failure_recovery,standard,정책 재조회 복구,Gate 정책 조회 실패 후 안전하게 재조회해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""실패를 숨기지 않는 복구""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""},""simulate_failure"":{""enum"":[""transient_once""],""type"":""string""}},""required"":[""query"",""simulate_failure""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review"",""simulate_failure"":""transient_once""},""max_attempts"":2,""tool_name"":""lookup_policy""}}",76759321f6c387e1691eba77c3fe7e408aa8955e22a8b669dfea28dfb347fa22,,,,
KO-RECOVERY-006,tool_failure_recovery,standard,문서 재조회 복구,runbook 문서 조회 실패를 최대 두 번 시도해 복구해 주세요.,,"{""agent"":null,""expected_output"":{""forbidden_claims"":[],""must_refuse"":false,""required_facts"":[""최대 attempt 제한""]},""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""document_id"":{""type"":""string""},""simulate_failure"":{""enum"":[""transient_once""],""type"":""string""}},""required"":[""document_id"",""simulate_failure""],""type"":""object""},""example_arguments"":{""document_id"":""model-atlas-operator-runbook"",""simulate_failure"":""transient_once""},""max_attempts"":2,""tool_name"":""lookup_internal_document""}}",41b57ba54d1f6939ea5d42a4ab4e037a8ddcc4dde1a0082978c2b86f5e5ba066,,,,
KO-RAG-TOOL-001,rag_tool_combined,critical,근거 검색 후 정책 Tool,Gate와 production readiness 차이를 문서에서 확인한 뒤 정책을 조회해 주세요.,EVALUATOR_GUIDE_KO.md,"{""agent"":{""allow_memory_write"":false,""allowed_actions"":[""retrieve"",""tool"",""respond""],""allowed_memory_ids"":[],""allowed_tools"":[""lookup_policy""],""expected_steps"":[{""action"":""retrieve"",""relevant_chunk_ids"":[""ko-605f4586e724cc70f087851d""]},{""action"":""tool"",""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""tool_name"":""lookup_policy""},{""action"":""respond"",""required_terms"":[""retrieve 후 lookup_policy""]}],""max_memory_reads"":0,""max_memory_writes"":0,""max_retrievals"":1,""max_steps"":3,""max_tool_calls"":1},""expected_output"":null,""expected_tool_schema"":{""arguments"":{""additionalProperties"":false,""properties"":{""query"":{""type"":""string""}},""required"":[""query""],""type"":""object""},""example_arguments"":{""query"":""Model Atlas operator review""},""max_attempts"":1,""tool_name"":""lookup_policy""}}",31eb579aadebfcaecf76a286603a1201c8b2e047c46b69f5a569e65520738db2,,,,
